timestamp,CAN ID,DLC,hex1,hex2,hex3,hex4,hex5,hex6,hex7,hex8,Flag
1478198376.389427,0316,8,05,21,68,09,21,21,00,6f,R
1478198376.389636,018f,8,fe,5b,00,00,00,3c,00,00,R
1478198376.389864,0260,8,19,21,22,30,08,8e,6d,3a,R
1478198376.390096,02a0,8,64,00,9a,1d,97,02,bd,00,R
1478198376.390333,0329,8,40,bb,7f,14,11,20,00,14,R
1478198376.390574,0545,8,d8,00,00,8a,00,00,00,00,R
1478198376.393317,0002,8,00,00,00,00,00,03,0b,11,R
1478198376.393552,0153,8,00,21,10,ff,00,ff,00,00,R
1478198376.394175,02c0,8,14,00,00,00,00,00,00,00,R
1478198376.394414,0130,8,08,80,00,ff,31,80,0b,7f,R
